timestamp,amount,caller,amountFiat,date
1664755307000,0.08521076852999568,0xf0fe43a75ff248fd2e75d33fa1ebde71c6d1abad,112.77679452395617,10/2/2022, 8:01:47 PM
1664751659000,0.5682169796218879,0xe16a238d207b9ac8b419c7a866b0de013c73357b,726.1252426695625,10/2/2022, 7:00:59 PM
1664227931000,0.01234,0x6e5c10f5b5363fcd1762b846024bb43629337836,16.475395672157774,9/26/2022, 5:32:11 PM
1664202407000,0.23810664227924339,0x90eda5165e5e1633e0bdb6307cdecae564b10ff7,317.9012272057914,9/26/2022, 10:26:47 AM
1664166431000,0.23623605974599354,0x22fea913fd7f729303bae66ef40a044c73ffadce,315.4037727995743,9/26/2022, 12:27:11 AM
1664152631000,0.0850861490266279,0xf0fe43a75ff248fd2e75d33fa1ebde71c6d1abad,113.60032183418772,9/25/2022, 8:37:11 PM
1664146715000,0.5673654880244184,0xe16a238d207b9ac8b419c7a866b0de013c73357b,734.2135479736575,9/25/2022, 6:58:35 PM
1664092163000,3.196493076459964,0xf8284136b169213e4c50ce09f3e1d9a9b484baea,4136.502082481081,9/25/2022, 3:49:23 AM
1663920299000,0.001,0xa13d49fcbf79eaf6a0a58cbdd3361422db4eaff1,1.329558806730321,9/23/2022, 4:04:59 AM
1663800539000,0.04878048780487805,0x3b43f968526cbece972bbb93b543cc299f296f47,61.11095425212577,9/21/2022, 6:48:59 PM
1663636463000,0.14379950791052384,0xf0fe43a75ff248fd2e75d33fa1ebde71c6d1abad,190.41795157147996,9/19/2022, 9:14:23 PM
1663551479000,0.5440914251426126,0xe16a238d207b9ac8b419c7a866b0de013c73357b,750.8030227094897,9/18/2022, 9:37:59 PM
1663428839000,0.00069439,0x673ed2dbd171a2cb7f596bc8bf7bc6080b592afe,1.0215893145645447,9/17/2022, 11:33:59 AM
1663354211000,0.0007004,0xc82970ce17c5b6ee0fef129297f217b2f5dfe1f7,1.0031239515580164,9/16/2022, 2:50:11 PM
1663224527000,0.06257705,0x6877be9e00d0bc5886c28419901e8cc98c1c2739,92.11339210087199,9/15/2022, 2:48:47 AM
1663223463000,0.1,0x2cfefe10526d983033890a93a0a1c9fb05c31a5c,147.1999592516298,9/15/2022, 2:31:03 AM
1663056228000,1.1466135633655425,0x9fb587b08bb31e81be3c63231c3069706ca69260,1803.8584359802703,9/13/2022, 4:03:48 AM
1663030497000,0.001,0x7f726bae10bd055fac980abd001945fd9a1d6879,1.5732052136951713,9/12/2022, 8:54:57 PM
1663013967000,0.007233621142660243,0x60535a6605958fff6cec5b1e92892601efb3473b,12.370680571726126,9/12/2022, 4:19:27 PM
1663001614000,0.157971449965862,0x90eda5165e5e1633e0bdb6307cdecae564b10ff7,270.157132705655,9/12/2022, 12:53:34 PM
1662942687000,0.41489767551502804,0xe16a238d207b9ac8b419c7a866b0de013c73357b,709.5431890231025,9/11/2022, 8:31:27 PM
1662932285000,0.1787425732177554,0x22fea913fd7f729303bae66ef40a044c73ffadce,314.82239644320777,9/11/2022, 5:38:05 PM
1662880342000,2.142462350212822,0xa938375053b1dcc520006503c411d136c2dca101,3773.5561217507784,9/11/2022, 3:12:22 AM
1662434028000,0.06738689540925955,0xf0fe43a75ff248fd2e75d33fa1ebde71c6d1abad,105.43077059685672,9/5/2022, 11:13:48 PM
1662423167000,0.4494527732704323,0xe16a238d207b9ac8b419c7a866b0de013c73357b,703.195360833981,9/5/2022, 8:12:47 PM
1661860107000,0.1705613177223993,0x111040f27f05e2017e32b9ac6d1e9593e4e19a2a,260.17425387843895,8/30/2022, 7:48:27 AM
1661834283000,0.20005967315805503,0xf0fe43a75ff248fd2e75d33fa1ebde71c6d1abad,305.1710486886425,8/30/2022, 12:38:03 AM
1661801236000,0.21637616333432122,0x22fea913fd7f729303bae66ef40a044c73ffadce,336.5033312423095,8/29/2022, 3:27:16 PM
1661753867000,0.5040347623110155,0xe16a238d207b9ac8b419c7a866b0de013c73357b,783.8634994073733,8/29/2022, 2:17:47 AM
1661753625000,2.6603626639465725,0xe16a238d207b9ac8b419c7a866b0de013c73357b,4137.336039864462,8/29/2022, 2:13:45 AM
1661553535000,0.04782777185239138,0x544880be7e5dcc0e14173dc6722794dea6fa76d5,72.22898027802486,8/26/2022, 6:38:55 PM
1661486627000,0.007392645645948296,0x60535a6605958fff6cec5b1e92892601efb3473b,11.1642929595711,8/26/2022, 12:03:47 AM
1661153930000,3.119172586093222,0x9fb587b08bb31e81be3c63231c3069706ca69260,5060.255628481418,8/22/2022, 3:38:50 AM
1661129268000,0.4816872051097568,0x0028c35095d34c9c8a3bc84cb8542cb182fcfa8e,781.4445413157022,8/21/2022, 8:47:48 PM
1661083223000,0.001013,0x8c6d358672a1599162584e8ca1dfceaab5b0a85e,1.6452639326623502,8/21/2022, 8:00:23 AM
1661081075000,0.001011,0x3e70c87448e5981a40c62392c73cf58823d92cab,1.6420156326965802,8/21/2022, 7:24:35 AM
1660926868000,0.07857142857142857,0x2c003eab85b2eb421e29502421cf3f04b686f632,127.17041104926349,8/19/2022, 12:34:28 PM
1660524252000,0.34029523756440877,0xf0fe43a75ff248fd2e75d33fa1ebde71c6d1abad,649.3777934912243,8/14/2022, 8:44:12 PM
