timestamp,govFeeAmount,projectId,govFeeAmountFiat,date
1670294675000,0.4311824974419169,302,544.1058747621453,12/5/2022, 9:44:35 PM
1670290703000,0.001928527032442059,302,2.433593418598076,12/5/2022, 8:38:23 PM
1670202215000,0.567718824483161,329,715.1880895313095,12/4/2022, 8:03:35 PM
1670107175000,0.31607305867467045,33,392.8917210924575,12/3/2022, 5:39:35 PM
1670103299000,1.9362701960817035,1,2406.862935513888,12/3/2022, 4:34:59 PM
1669598051000,0.6171151962765737,329,722.0962054644976,11/27/2022, 8:14:11 PM
1669580051000,0.26144286184655896,5,312.7369629733504,11/27/2022, 3:14:11 PM
1669005947000,0.3383545746218834,33,375.6710960215217,11/20/2022, 11:45:47 PM
1668984239000,0.6405071982782362,329,732.9023808342929,11/20/2022, 5:43:59 PM
1668972383000,2.24288070298597,1,2566.423315092297,11/20/2022, 2:26:23 PM
1668379919000,0.5974788295289684,329,730.72045826622,11/13/2022, 5:51:59 PM
1668101339000,0.24209233327101007,5,315.0962157615657,11/10/2022, 12:28:59 PM
1667812883000,0.1995900643396184,33,313.3541328723763,11/7/2022, 4:21:23 AM
1667784527000,0.46553242019291147,329,730.8806093940027,11/6/2022, 8:28:47 PM
1667784491000,1.9659434104746651,1,3086.5088134708735,11/6/2022, 8:28:11 PM
1667590631000,0.06940611284576116,2,114.11703502928181,11/4/2022, 3:37:11 PM
1667548907000,0.000476190476190477,350,0.7829489799090203,11/4/2022, 4:01:47 AM
1667480579000,0.06924959789433564,302,106.02893400979242,11/3/2022, 9:02:59 AM
1667171795000,0.46177515831006244,329,734.7081845856673,10/30/2022, 7:16:35 PM
1666802123000,0.20358216563403783,5,319.3690308036795,10/26/2022, 12:35:23 PM
1666615883000,0.2392276725930648,33,321.3627840315806,10/24/2022, 8:51:23 AM
1666570067000,0.08021874584204386,302,107.7606081934032,10/23/2022, 8:07:47 PM
1666566707000,0.5350126071262431,329,730.0176784071534,10/23/2022, 7:11:47 PM
1666566623000,0.08378297427596966,302,114.32076843856022,10/23/2022, 7:10:23 PM
1666466807000,4.391417066830734,1,5769.302245336948,10/22/2022, 3:26:47 PM
1665961043000,0.5586831465779726,329,730.167094025725,10/16/2022, 6:57:23 PM
1665660179000,0.08299794792629814,302,106.91496981277449,10/13/2022, 7:22:59 AM
1665587747000,0.2443912214673249,5,316.30848315856525,10/12/2022, 11:15:47 AM
1665542639000,0.01904761904761905,474,24.652781931204142,10/11/2022, 10:43:59 PM
1665391319000,0.23921160670574212,33,308.8417181978704,10/10/2022, 4:41:59 AM
1665356111000,0.5535814226931847,329,731.9839722785086,10/9/2022, 6:55:11 PM
1665279467000,6.9770051955841454,1,9225.48295212933,10/8/2022, 9:37:47 PM
1665177911000,0.001373802028351518,558,1.820143078456576,10/7/2022, 5:25:11 PM
1664755307000,0.08521076852999568,302,112.77679452395617,10/2/2022, 8:01:47 PM
1664751659000,0.5682169796218879,329,726.1252426695625,10/2/2022, 7:00:59 PM
1664202407000,0.23810664227924339,5,317.9012272057914,9/26/2022, 10:26:47 AM
1664166431000,0.23623605974599354,33,315.4037727995743,9/26/2022, 12:27:11 AM
1664152631000,0.0850861490266279,302,113.60032183418772,9/25/2022, 8:37:11 PM
1664146715000,0.5673654880244184,329,734.2135479736575,9/25/2022, 6:58:35 PM
1664092163000,3.196493076459964,1,4136.502082481081,9/25/2022, 3:49:23 AM
1663800539000,0.04878048780487805,197,61.11095425212577,9/21/2022, 6:48:59 PM
1663636463000,0.14379950791052384,302,190.41795157147996,9/19/2022, 9:14:23 PM
1663551479000,0.5440914251426126,329,750.8030227094897,9/18/2022, 9:37:59 PM
1663056228000,1.1466135633655425,294,1803.8584359802703,9/13/2022, 4:03:48 AM
1663013967000,0.007233621142660243,168,12.370680571726126,9/12/2022, 4:19:27 PM
1663001614000,0.157971449965862,5,270.157132705655,9/12/2022, 12:53:34 PM
1662942687000,0.41489767551502804,329,709.5431890231025,9/11/2022, 8:31:27 PM
1662932285000,0.1787425732177554,33,314.82239644320777,9/11/2022, 5:38:05 PM
1662880342000,2.142462350212822,1,3773.5561217507784,9/11/2022, 3:12:22 AM
1662434028000,0.06738689540925955,302,105.43077059685672,9/5/2022, 11:13:48 PM
1662423167000,0.4494527732704323,329,703.195360833981,9/5/2022, 8:12:47 PM
1661860107000,0.1705613177223993,5,260.17425387843895,8/30/2022, 7:48:27 AM
1661834283000,0.20005967315805503,302,305.1710486886425,8/30/2022, 12:38:03 AM
1661801236000,0.21637616333432122,33,336.5033312423095,8/29/2022, 3:27:16 PM
1661753867000,0.5040347623110155,329,783.8634994073733,8/29/2022, 2:17:47 AM
1661753625000,2.6603626639465725,1,4137.336039864462,8/29/2022, 2:13:45 AM
1661553535000,0.04782777185239138,380,72.22898027802486,8/26/2022, 6:38:55 PM
1661486627000,0.007392645645948296,168,11.1642929595711,8/26/2022, 12:03:47 AM
1661153930000,3.119172586093222,294,5060.255628481418,8/22/2022, 3:38:50 AM
1661129268000,0.4816872051097568,329,781.4445413157022,8/21/2022, 8:47:48 PM
1660926868000,0.07857142857142857,434,127.17041104926349,8/19/2022, 12:34:28 PM
1660524252000,0.34029523756440877,329,649.3777934912243,8/14/2022, 8:44:12 PM
1660510793000,0.1580308063218647,33,306.0584464890329,8/14/2022, 4:59:53 PM
1660443473000,2.1493827284709575,1,4162.712031262753,8/13/2022, 10:17:53 PM
1660396984000,0.13668626468519415,5,270.96846784409644,8/13/2022, 9:23:04 AM
1660313017000,0.021653017270161327,8,42.42542635089606,8/12/2022, 10:03:37 AM
