modCut,modBeneficiary,modProjectId,modCutFiat,date
45.68543002068498,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,329,60408.462370542846,10/8/2022, 9:37:47 PM
3.655950722486092,0x25910143c255828f623786f46fe9a8941b7983bb,0,4834.153066915768,10/8/2022, 9:37:47 PM
2.260549683369263,0xa8488938161c9afa127e93fef6d3447051588664,0,2989.0564764899027,10/8/2022, 9:37:47 PM
1.1163208312934634,0x5706d5ad7a68bf8692bd341234be44ca7bf2f654,0,1476.0772723406928,10/8/2022, 9:37:47 PM
6.083948530549375,0xb045708e396e20071324c1aed2e4cfb90a0764fe,0,8044.621134256775,10/8/2022, 9:37:47 PM
6.083948530549375,0x428f196c4d754a96642854ac5d9f29a0e6ec707e,0,8044.621134256775,10/8/2022, 9:37:47 PM
1.1163208312934634,0xfda746f4c3f9f5a02b3e63ed6d0ebbc002d1f788,0,1476.0772723406928,10/8/2022, 9:37:47 PM
1.1163208312934634,0x334d080349da9cfa602442968483b761defa5bf7,0,1476.0772723406928,10/8/2022, 9:37:47 PM
1.5070331222461755,0xf8284136b169213e4c50ce09f3e1d9a9b484baea,0,1992.7043176599352,10/8/2022, 9:37:47 PM
3.0419742652746873,0x2dda8dc2f67f1eb94b250caefac9de16f70c5a51,0,4022.3105671283874,10/8/2022, 9:37:47 PM
152.32197742999307,0x301779a1d31e1b90eb34fab7e305fc6e3180f0c2,0,201410.74381088754,10/8/2022, 9:37:47 PM
9.026896447922939,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,5,11681.481880926573,9/25/2022, 3:49:23 AM
13.911137868753762,0x6860f1a0cf179ed93abd3739c7f6c8961a4eea3c,0,18002.05706295766,9/25/2022, 3:49:23 AM
4.960957254665864,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,33,6419.851232010637,9/25/2022, 3:49:23 AM
45.147268211920526,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,329,58423.95541296278,9/25/2022, 3:49:23 AM
3.6056441902468395,0x25910143c255828f623786f46fe9a8941b7983bb,0,4665.974349038659,9/25/2022, 3:49:23 AM
12.031599939795305,0x5d95baebb8412ad827287240a5c281e3bb30d27e,0,15569.793838458789,9/25/2022, 3:49:23 AM
2.2503311258278145,0xa8488938161c9afa127e93fef6d3447051588664,0,2912.0974660666807,9/25/2022, 3:49:23 AM
1.1251655629139072,0x5706d5ad7a68bf8692bd341234be44ca7bf2f654,0,1456.0487330333403,9/25/2022, 3:49:23 AM
6.009406983744732,0xb045708e396e20071324c1aed2e4cfb90a0764fe,0,7776.6239150644315,9/25/2022, 3:49:23 AM
6.009406983744732,0x428f196c4d754a96642854ac5d9f29a0e6ec707e,0,7776.6239150644315,9/25/2022, 3:49:23 AM
1.1251655629139072,0xfda746f4c3f9f5a02b3e63ed6d0ebbc002d1f788,0,1456.0487330333403,9/25/2022, 3:49:23 AM
1.1251655629139072,0x68dfb9b374b0a1ce996770ddf32916a530b4785f,0,1456.0487330333403,9/25/2022, 3:49:23 AM
1.4959587597832629,0xf8284136b169213e4c50ce09f3e1d9a9b484baea,0,1935.8829746011454,9/25/2022, 3:49:23 AM
3.004703491872366,0x2dda8dc2f67f1eb94b250caefac9de16f70c5a51,0,3888.3119575322157,9/25/2022, 3:49:23 AM
5.690380002165254,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,5,10022.565059370065,9/11/2022, 3:12:22 AM
10.540914763047082,0x6860f1a0cf179ed93abd3739c7f6c8961a4eea3c,0,18565.896119013825,9/11/2022, 3:12:22 AM
3.7535940375728636,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,33,6611.270325307363,9/11/2022, 3:12:22 AM
34.18512925999578,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,329,60210.86147865541,9/11/2022, 3:12:22 AM
2.845190001082627,0x5bd9c90827ac6391e91a60c5de8b63dcaa48b7aa,0,5011.282529685032,9/11/2022, 3:12:22 AM
2.733781958871561,0x25910143c255828f623786f46fe9a8941b7983bb,0,4815.057611353993,9/11/2022, 3:12:22 AM
9.109749913104917,0x5d95baebb8412ad827287240a5c281e3bb30d27e,0,16045.160629684306,9/11/2022, 3:12:22 AM
1.7054000307694062,0xa8488938161c9afa127e93fef6d3447051588664,0,3003.7506729136194,9/11/2022, 3:12:22 AM
0.8484150906842773,0x5706d5ad7a68bf8692bd341234be44ca7bf2f654,0,1494.328224213308,9/11/2022, 3:12:22 AM
4.550590031852034,0xb045708e396e20071324c1aed2e4cfb90a0764fe,0,8015.033202598653,9/11/2022, 3:12:22 AM
4.550590031852034,0x428f196c4d754a96642854ac5d9f29a0e6ec707e,0,8015.033202598653,9/11/2022, 3:12:22 AM
0.8484150906842773,0xfda746f4c3f9f5a02b3e63ed6d0ebbc002d1f788,0,1494.328224213308,9/11/2022, 3:12:22 AM
0.8484150906842773,0x68dfb9b374b0a1ce996770ddf32916a530b4785f,0,1494.328224213308,9/11/2022, 3:12:22 AM
1.13122012091237,0xf8284136b169213e4c50ce09f3e1d9a9b484baea,0,1992.437632284411,9/11/2022, 3:12:22 AM
