timestamp,distributedAmount,fee,beneficiaryDistributionAmount,beneficiary,distributedAmountFiat,feeFiat,beneficiaryDistributionAmountFiat,date
1665279527000,28.182226226704515,0.20435365143473141,2.7494854857e-8,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,37264.505374321525,270.21065266078705,0.00003635561500155753,10/8/2022, 9:38:47 PM
1664115887000,58.071261932786406,0.2052713433791004,2.26619558765e-7,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,75148.57381868755,265.63653324151755,0.00029326272710107875,9/25/2022, 10:24:47 AM
1662860297000,20.338067278062347,0.08290536478582093,9.9210084284e-8,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,35821.79088192037,146.02265789288626,0.00017474044332779537,9/10/2022, 9:38:17 PM
1661723269000,29.738389828325985,0.09913347519157954,8.7039189744e-8,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,42786.02064700261,142.62799502063035,0.00012522737750710273,8/28/2022, 5:47:49 PM
1660498511000,15.0632097131156,1e-18,0,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,29172.935779021045,1.9367011636052607e-15,0,8/14/2022, 1:35:11 PM
1659209452000,14.555549543471226,1e-18,0,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,24697.639561672495,1.6967850982136517e-15,0,7/30/2022, 3:30:52 PM
1658007290000,18.438746820048557,1e-18,0,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,24985.343489617782,1.35504564021949e-15,0,7/16/2022, 5:34:50 PM
1656792463000,23.389120954608334,1e-18,0,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,24992.246449329385,1.0685415025999595e-15,0,7/2/2022, 4:07:43 PM
