timestamp,fee,projectId,feeFiat,date
1666042391000,0.21483018890508263,13,286.41274105659215,10/17/2022, 5:33:11 PM
1665815699000,0.0379430143353451,115,48.403667283201344,10/15/2022, 2:34:59 AM
1665806567000,0.07317073170731707,238,93.3434471264486,10/15/2022, 12:02:47 AM
1665707375000,0.02934453636460734,31,38.07828045210104,10/13/2022, 8:29:35 PM
1665587495000,0.024390243902439025,265,31.567586619224812,10/12/2022, 11:11:35 AM
1665587423000,0.761189300487805,265,985.185276247813,10/12/2022, 11:10:23 AM
1665479603000,0.001219512195121952,66,1.560833301886905,10/11/2022, 5:13:23 AM
1665369563000,0.05515483446193231,115,71.20939521591114,10/9/2022, 10:39:23 PM
1665329543000,0.04484312357605835,13,59.294706034186696,10/9/2022, 11:32:23 AM
1665279575000,0.0975609756097561,55,129.00192733847524,10/8/2022, 9:39:35 PM
1665279527000,0.20435365143473141,1,270.21065266078705,10/8/2022, 9:38:47 PM
1665061523000,0.04878048780487805,153,65.9232863023392,10/6/2022, 9:05:23 AM
1664949755000,0.007017151249280356,203,9.49130421876897,10/5/2022, 2:02:35 AM
1664905175000,0.13344069146341464,214,181.91131222067153,10/4/2022, 1:39:35 PM
1664685191000,0.03689555371132157,115,47.14887772253623,10/2/2022, 12:33:11 AM
1664681411000,0.05038430123411769,39,64.38616632805522,10/1/2022, 11:30:11 PM
1664471351000,0.036004932092620866,26,48.09319093112887,9/29/2022, 1:09:11 PM
1664417051000,0.009056770008035168,26,12.097480647797857,9/28/2022, 10:04:11 PM
1664395583000,0.028273632846177545,31,37.88731998919575,9/28/2022, 4:06:23 PM
1664178587000,0.0564079904432668,115,75.31150418347771,9/26/2022, 3:49:47 AM
1664116043000,0.6531360800949659,228,845.2071350795542,9/25/2022, 10:27:23 AM
1664115887000,0.2052713433791004,1,265.63653324151755,9/25/2022, 10:24:47 AM
1664062583000,0.04641463414634146,66,61.179098960550704,9/24/2022, 7:36:23 PM
1663839827000,0.003414634146341464,164,4.544170512416006,9/22/2022, 5:43:47 AM
1663793063000,0.0975609756097561,55,122.22190850425154,9/21/2022, 4:44:23 PM
1663776659000,0.001560975609756098,241,1.9555505360680254,9/21/2022, 12:10:59 PM
1663774523000,0.000243902439024391,241,0.3055547712606298,9/21/2022, 11:35:23 AM
1663755707000,0.000975609756097561,196,1.2222190850425154,9/21/2022, 6:21:47 AM
1663720931000,0.024390243902439025,153,30.555477126062886,9/20/2022, 8:42:11 PM
1663703315000,0.026829268292682926,187,35.52706392871084,9/20/2022, 3:48:35 PM
1663693691000,1.9356559153658537,241,2563.1772994698085,9/20/2022, 1:08:11 PM
1663610819000,1.5134280487804876,241,2088.4106993229707,9/19/2022, 2:06:59 PM
1663599095000,0.9733414634146341,241,1343.134037939741,9/19/2022, 10:51:35 AM
1663598987000,0.5310018592682927,241,732.7404597462554,9/19/2022, 10:49:47 AM
1663577231000,0.04606705791631072,115,63.56888701532743,9/19/2022, 4:47:11 AM
1663563023000,0.13508536585365855,241,186.40709321996783,9/19/2022, 12:50:23 AM
1663534415000,0.33436587463414635,241,446.66350706048485,9/18/2022, 4:53:35 PM
1663520531000,1.3533646878048782,241,1807.895672511946,9/18/2022, 1:02:11 PM
1663493063000,1.0044537302439025,241,1341.802079299004,9/18/2022, 5:24:23 AM
1663453463000,0.03858048780487805,241,56.7597662583723,9/17/2022, 6:24:23 PM
1663450535000,0.05702439024390244,241,83.89450847899509,9/17/2022, 5:35:35 PM
1663450331000,0.4962283377309681,241,730.053093233029,9/17/2022, 5:32:11 PM
1663440107000,0.10473170731707317,241,154.08170205680278,9/17/2022, 2:41:47 PM
1663437107000,2.471291656097561,241,3635.7740593064213,9/17/2022, 1:51:47 PM
1663279259000,0.004095555346552085,26,6.028655801252614,9/15/2022, 6:00:59 PM
1663145810000,0.000243902439024391,236,0.39887029419320263,9/14/2022, 4:56:50 AM
1663118207000,0.020491009297662593,163,33.510345118184645,9/13/2022, 9:16:47 PM
1663014074000,0.021192249441387426,31,36.24222823747888,9/12/2022, 4:21:14 PM
1662974855000,0.001536585365853659,126,2.6278134225279484,9/12/2022, 5:27:35 AM
1662864460000,0.04154639875325584,115,73.1763931984494,9/10/2022, 10:47:40 PM
1662860297000,0.08290536478582093,1,146.02265789288626,9/10/2022, 9:38:17 PM
1662857631000,0.02169755042895233,226,38.21627215061027,9/10/2022, 8:53:51 PM
1662854938000,0.0549305074150692,39,96.75005607749436,9/10/2022, 8:08:58 PM
1662739149000,0.04147008842679075,13,71.20733324173321,9/9/2022, 11:59:09 AM
1662734868000,0.048779084283039585,228,83.75744160518998,9/9/2022, 10:47:48 AM
1662734582000,0.0975609756097561,55,167.51970312039487,9/9/2022, 10:43:02 AM
1662688446000,0.002006571148925482,26,3.4454370823689504,9/8/2022, 9:54:06 PM
1662643247000,0.010367848951340708,13,16.961097695541405,9/8/2022, 9:20:47 AM
1662640442000,0.000973663563262125,93,1.5928475517520266,9/8/2022, 8:34:02 AM
1662625704000,0.000487804878048781,224,0.798015695616122,9/8/2022, 4:28:24 AM
1662558639000,0.002126959973921896,26,3.466696394851571,9/7/2022, 9:50:39 AM
1662543000000,0.08780487804878048,157,143.1116983460765,9/7/2022, 5:30:00 AM
1662537890000,0.003658536585365854,164,5.962987431086522,9/7/2022, 4:04:50 AM
1662512557000,0.017450038418242535,203,28.44152500105496,9/6/2022, 9:02:37 PM
1662483146000,0.013774436142879149,141,21.55091740405942,9/6/2022, 12:52:26 PM
1662480312000,0.001314243604251754,26,2.0562115988090652,9/6/2022, 12:05:12 PM
