Timestamp|Amount|Caller|Note|txHash
1664471351|36004932092620866|0x57a6a824d389169b752d355f49d1a4fa4fbae907||0x25a9aad3866904e4375898c67abedaa90c798c1fb0ab6578855b2dee86d9fdb7
1664457983|1000000000000000|0x7e6948f25855ace05f2c22ebbfae9bbb31070e91||0x9c1e7154fdbb456dc3a8abfb679491cf54e6c569ffe3806f3389d6dbcd3c277c
1664417051|9056770008035167|0x57a6a824d389169b752d355f49d1a4fa4fbae907||0xea4171f588ef3f177b638853891a8afb3f3f55d1cc47ad44586e8d9ce373e42e
1664395583|28273632846177545|0x60535a6605958fff6cec5b1e92892601efb3473b||0xf77bdb5c4d8ac1a226d7dcd22b4bf09107ce27721fdc46e2b20ec6cdda751de0
1664295419|65000000000000000|0x224e69025a2f705c8f31efb6694398f8fd09ac5c||0x53d6e25a8c197566c6baa4795233c3a54135efe77e9c2be1bc845a75f7a7d85c
1664224787|10000000000000000|0x6e5c10f5b5363fcd1762b846024bb43629337836||0xb406574e5ab533bc489fcce10493ff66116a31c85d06c2c62df1291f6df9b355
1664178587|56407990443266803|0xca6ed3fdc8162304d7f1fcfc9ca3a81632d5e5b0||0x4d8e7c46f0d4386f58fa59e12cacbc0ad37c4537b84f4ab4ee943f970b4817a6
1664116043|653136080094965872|0x823b92d6a4b2aed4b15675c7917c9f922ea8adad||0xa500ed55f3a93fe51489d2faa5727d9cface7d9b1139b54b64a66df1fb3f0154
1664115887|205271343379100430|0x823b92d6a4b2aed4b15675c7917c9f922ea8adad||0x14b7bb21e6831e7b15876dfe03daeafb6b95d7930bb7e3c037f802c4de86b3de
1664062583|46414634146341464|0x6877be9e00d0bc5886c28419901e8cc98c1c2739||0x2383121a4576f7ef476c8d8fd51806102c1a6a647c35853b57a14f55295e749c
1663839827|3414634146341464|0x472731c3aa2beddff525914f17bf334f906fc33b||0xa89b6baa067d03ca350dde5ad059910f6711e2e4943a1399a95496515bbd7521
1663835051|5000000000000000|0xa13d49fcbf79eaf6a0a58cbdd3361422db4eaff1|https://www.juicebox.money/assets/stickers/banny_coder.png|0x842565dbaf0d2bce792457cf33036b24a1baeb5268cc4939c7dbe33c394c6a2a
1663793063|97560975609756098|0x823b92d6a4b2aed4b15675c7917c9f922ea8adad||0x72f8c25d8a755aaa1c2d1bfbf124282bed84ee3eade1f632bbf0036df72e68fa
1663776659|1560975609756098|0x93d224e1915f6b8f3ca705226c6af97811a9dc99||0x3173f99861e29e2793558200a206b51d0f052658912a9046de40b0d4e632a86c
1663774523|243902439024391|0x93d224e1915f6b8f3ca705226c6af97811a9dc99||0x235006dd7b59cda42a8779df9e86fc8a9ba35754397e7a35760424541b4a111c
1663755707|975609756097561|0x507edd093d6732e2749a672bed2ad2a600a06fa2||0x0415db8c347b9de536ace3a7612d3d3b81c81e375f898053e0b63ebd9c5b937e
1663720931|24390243902439025|0x14a2b07eec1f8d1ef0f9deeef9a352c432269cdb||0x8b84dba33a3de0ba9b5404084a1e0dd270d717935ebcf58f63a6bacf6a86a7b7
1663707143|5000000000000000|0x3757a7894d40fe277afde8c4c47ac554ad740246||0x9210adf473d473a8a8231d96679cfbf151fe66c39bd908df217e566dcff0de68
1663703315|26829268292682927|0xf8284136b169213e4c50ce09f3e1d9a9b484baea||0x76738dc8ecc04f4571ec58aa4480a6a0885d06b9c662a94c3310ec5d20ca0256
1663693691|1935655915365853659|0x016dfbf8f727623a927c5445c7976c145c899555||0xcbba005866d496febe1472fe8d5c904bc3f13aa4cc5e52e33032d9c88952a2bb
1663610819|1513428048780487805|0xde7700448ab1d3b49d55979778789454db332112||0x48a30ac9164f286b6998e71242f4d3502e26de25b2af84d771e7f2e6bbc229ed
1663599095|973341463414634147|0xde7700448ab1d3b49d55979778789454db332112||0x353ef718c0bc3172bd2fb24a56a9262f27d0381bbe97aad8f68032b2d1aed015
1663598987|531001859268292683|0xde7700448ab1d3b49d55979778789454db332112||0x2024b26fb81e9df36c1cd01db28067d1bed73f95e631fdefd24ef02d7a748cf7
1663577231|46067057916310722|0xca6ed3fdc8162304d7f1fcfc9ca3a81632d5e5b0||0xd47bbcfef4a2db95b9acddf081739c742f712a243f6354b8593fc4240b668cd3
1663563023|135085365853658537|0x673ed2dbd171a2cb7f596bc8bf7bc6080b592afe||0x349ce4db49156f05bb5dde56910939117941fb24443de0404ebebd4c4376c8ea
1663534415|334365874634146342|0x90c824a56e87376dd394b51bc0fdaf10f1ba81ab||0xdaacee87d55a7c71889613f2a5426813c7dea6372fcfe861f97d07526f24e16c
1663520531|1353364687804878049|0x70d3e96ebe14442fd38f562e6ab4ce8fc3d55824||0x470647dcba94745e598e77a207e1c077e259024b18fa53d31ae047a00bee9ac0
1663493063|1004453730243902440|0x0f8f024ba552bc84873a1ef69dcb1cad73445e85||0xf237ac12d36ed46ab28a0919926f55beef6f5dbdf839fe500f506896edb6b22b
1663453463|38580487804878049|0x20fa7558e9795a84dc2aa5e9be953b30b27f9276||0x4e8e4bfd3e3d9d940ac8d5886894bbaddc63c4d20acd696b95d714b63f92fdbe
1663450535|57024390243902440|0xa0aecc4a848e6f9998216e004a90b61c810febec||0xae55d7350b4436574c7645b1766729ea95b6cb0f5688b4f6b09cb7fb704a11cc
1663450331|496228337730968049|0x088008233462058159adbdc9b9370f4d4e2140f0||0xec6efdb6dc7302d0b3f6d6c7362160590476849d24cf1bb001b234b279f29d0e
