timestamp,returnAmount,amount,caller,returnAmountFiat,date
1652536599000,2.5512180226045316,1121620,0x303301fb1253ab7def0d8bbc626d63eec3d7731f,5266.299139674607,5/14/2022, 9:56:39 AM
1652521773000,0.3151061228372034,138534,0xf4844a06d4f995c4c03195afcb5aa59dcbb5b4fc,650.4513094924143,5/14/2022, 5:49:33 AM
1652460695000,2.659463067865492,1169308,0xdc66f4759f4bf0184580e26a4de697c8fd972810,5346.090027471901,5/13/2022, 12:51:35 PM
1652448270000,2.5044009223356896,1101171,0xdc66f4759f4bf0184580e26a4de697c8fd972810,5034.381923730261,5/13/2022, 9:24:30 AM
1652430900000,2.0430913053120205,898354,0xdc66f4759f4bf0184580e26a4de697c8fd972810,4107.05084967007,5/13/2022, 4:35:00 AM
1652430824000,0.11371291255371083,49999.99999999999,0x463e0a09440f25cf187056806ed0f968a2936fe3,228.58729460984736,5/13/2022, 4:33:44 AM
1652411472000,6.820378547562414,3000000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,13710.42079030325,5/12/2022, 11:11:12 PM
1652410593000,0.10554907993913219,46426.68576,0xe0909601e076d9e3d4901fa6186d99e0b935d344,212.17624357698674,5/12/2022, 10:56:33 PM
1652372859000,198.48776050438022,87478938.88638015,0x5a575a52eaebdc906d8087991cc445d27b13ed3e,390365.7140641422,5/12/2022, 12:27:39 PM
1652372029000,4.7001449133146656,2071574.4928395923,0xdc66f4759f4bf0184580e26a4de697c8fd972810,9243.77110522407,5/12/2022, 12:13:49 PM
1652355406000,3.5110946918063535,1547556.192,0xbe2e3d1bb4839cdd65e5aca8a7631d7bba9b4a2f,6905.26702014737,5/12/2022, 7:36:46 AM
1652337937000,2.633254768035103,1160667.144,0xf535c6e7315716749fe99ede3ee851b0cac7821c,5178.819969678411,5/12/2022, 2:45:37 AM
1652335271000,1.4384744673711478,634049.1650705095,0x32dd0756316b31d731aa6ae0f60b9b560e0ed92c,2829.0465426757783,5/12/2022, 2:01:11 AM
1652291426000,137.0306792314719,60480536.880614825,0x367f7def4c05f4ae7ae47f88e270f8c0c85a9273,285148.54410815274,5/11/2022, 1:50:26 PM
1652280632000,9.062030076227343,4000000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,18857.271213956334,5/11/2022, 10:50:32 AM
1652280098000,4.595959795789156,2028753.4811474206,0xdc66f4759f4bf0184580e26a4de697c8fd972810,9563.779818496954,5/11/2022, 10:41:38 AM
1652254430000,6.79362046932662,3000000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,14136.914426144911,5/11/2022, 3:33:50 AM
1652254234000,2.1088343680891026,931260,0xdc66f4759f4bf0184580e26a4de697c8fd972810,4388.295038734186,5/11/2022, 3:30:34 AM
1652249014000,2.051838688200741,906108,0xdc66f4759f4bf0184580e26a4de697c8fd972810,4269.692144610255,5/11/2022, 2:03:34 AM
1652248040000,4.528715038005512,2000000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,9423.849513192683,5/11/2022, 1:47:20 AM
1652181492000,1.0067986782244922,444633,0xdc66f4759f4bf0184580e26a4de697c8fd972810,2360.739240814174,5/10/2022, 7:18:12 AM
1652176271000,0.07621603053120835,33659.347175999996,0xae706c3782568b8eb1ec1450845a79749a63ea8c,178.7111742850296,5/10/2022, 5:51:11 AM
1652155252000,2.010691807047838,888000,0xdc66f4759f4bf0184580e26a4de697c8fd972810,4714.665556029849,5/10/2022, 12:00:52 AM
1651941402000,2.671439110333012,1165120,0xdc66f4759f4bf0184580e26a4de697c8fd972810,7055.882735630099,5/7/2022, 12:36:42 PM
1651926538000,1.0172899694634194,443690,0xdc66f4759f4bf0184580e26a4de697c8fd972810,2686.8958775451347,5/7/2022, 8:28:58 AM
1651905655000,1.0157030908698306,443002,0xdc66f4759f4bf0184580e26a4de697c8fd972810,2682.704567614567,5/7/2022, 2:40:55 AM
1651900682000,9.399561885086191,4100000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,24826.39644337575,5/7/2022, 1:18:02 AM
1651893580000,2.5734249510694593,1122530,0xdc66f4759f4bf0184580e26a4de697c8fd972810,6797.004885290927,5/6/2022, 11:19:40 PM
1651870806000,0.229249347720584,99999.99999999999,0x6691af446bb121b19aec9c0ff6ed9c4721d5fee1,618.9061254317726,5/6/2022, 5:00:06 PM
1651832960000,4.58479512344729,2000000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,12377.604621190672,5/6/2022, 6:29:20 AM
1651816053000,2.475779322665752,1080020,0xdc66f4759f4bf0184580e26a4de697c8fd972810,6683.879379594754,5/6/2022, 1:47:33 AM
1651653401000,2.291980255595219,1000000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,6743.125812605374,5/4/2022, 4:36:41 AM
1651652335000,2.0802031026823493,907618,0xdc66f4759f4bf0184580e26a4de697c8fd972810,6120.066350011535,5/4/2022, 4:18:55 AM
