timestamp,netTransferAmount,govFeeAmount,beneficiaryTransferAmount,beneficiary,netTransferAmountFiat,govFeeAmountFiat,beneficiaryTransferAmountFiat,date
1665279467000,279.0802078233658,6.9770051955841454,26.875424013390127,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,369019.3180851732,9225.48295212933,35536.56033160217,10/8/2022, 9:37:47 PM
1664092163000,127.85972305839856,3.196493076459964,17.03091511137869,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,165460.08329924324,4136.502082481081,22039.2830954592,9/25/2022, 3:49:23 AM
1662880342000,85.69849400851287,2.142462350212822,0.08569849400851288,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,150942.2448700311,3773.5561217507784,150.94224487003115,9/11/2022, 3:12:22 AM
1661753625000,106.4145065578629,2.6603626639465725,0.06384870393471774,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,165493.44159457844,4137.336039864462,99.29606495674707,8/29/2022, 2:13:45 AM
1660443473000,85.97530913883831,2.1493827284709575,0.06018271639718682,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,166508.48125051014,4162.712031262753,116.5559368753571,8/13/2022, 10:17:53 PM
1659209503000,88.21013759477141,2.2052534398692853,0.06174709631634,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,149673.6469821839,3741.841174554598,104.77155288752876,7/30/2022, 3:31:43 PM
1658000047000,108.17892739934429,2.7044731849836072,0.08654314191947544,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,146587.3839361022,3664.6845984025554,117.26990714888179,7/16/2022, 3:34:07 PM
1656792632000,365.31474662988535,9.132868665747132,225.76451341726911,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,390353.96828582115,9758.849207145528,241238.75240063743,7/2/2022, 4:10:32 PM
1655590637000,390.8143455342612,9.770358638356528,217.21461324794234,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,388958.9815008561,9723.9745375214,216183.40191817578,6/18/2022, 6:17:17 PM
1654399506000,1338.1411424063483,33.45352856015871,1223.7300747306056,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,2415788.215313212,60394.7053828303,2209238.3229039325,6/4/2022, 11:25:06 PM
1653189608000,119.37807548122866,2.9844518870307164,17.011375756075083,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,244324.70241243878,6108.11756031097,34816.270093772524,5/21/2022, 11:20:08 PM
1651960699000,71.65321935314817,1.7913304838287043,9.687515256545632,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,189252.5685615089,4731.314214037722,25586.947269516,5/7/2022, 5:58:19 PM
1650751347000,56.02592179638787,1.4006480449096967,0.05602592179638788,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,164754.75467020072,4118.868866755019,164.75475467020075,4/23/2022, 6:02:27 PM
1649533401000,38.803295382086354,0.9700823845521587,0.027162306767460457,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,126729.1595416946,3168.2289885423643,88.71041167918625,4/9/2022, 3:43:21 PM
1648414161000,37.30007578016899,0.9325018945042246,0.0223800454681014,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,122537.20545902166,3063.430136475541,73.52232327541302,3/27/2022, 4:49:21 PM
1647115867000,44.405598127126616,1.1101399531781653,0.03108391868898864,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,114542.38135912472,2863.5595339781175,80.17966695138732,3/12/2022, 3:11:07 PM
1645916462000,32.444993303357144,1.622249665167857,0.02595599464268572,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,90370.30380425681,4518.51519021284,72.29624304340547,2/26/2022, 6:01:02 PM
1644808677000,33.88790259667912,1.694395129833956,0.027110322077343305,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,99482.86875765826,4974.143437882913,79.58629500612663,2/13/2022, 10:17:57 PM
1643535180000,77.97323437758136,3.898661718879068,46.222533339030235,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,203524.364479393,10176.21822396965,120649.24326338418,1/30/2022, 4:33:00 AM
1642285394000,19.787094124612643,0.9893547062306322,5e-18,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,65915.69111795166,3295.784555897583,1.6656233275799926e-14,1/15/2022, 5:23:14 PM
1641068130000,25.067389136639083,1.2533694568319542,0.6342049451569688,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,94762.64908119017,4738.132454059509,2397.4950217541113,1/1/2022, 3:15:30 PM
1639857855000,15.951426639895278,0.7975713319947639,0.8741381798662613,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,63270.14301979362,3163.507150989681,3467.2038374846907,12/18/2021, 3:04:15 PM
