wallet,totalPaid,balance,totalPaidFiat
0x673ed2dbd171a2cb7f596bc8bf7bc6080b592afe,10.985534992609018,346958.0741401943,14645.973199774153
0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,3,104847,3999.6158247079948
0x231a07c825f052b895de5fd1513ce40d18e14af5,2,81699.51188486257,2666.41054980533
0x823b92d6a4b2aed4b15675c7917c9f922ea8adad,1.7814878048780487,82332.86389284796,2375.088938638184
0xdcfc09ebaf6c428b6045599e404a0bc9ac572c8e,1.260439024390244,40829.40131707317,1680.423956010242
0xaa2937eb4fa63c044b123387059d9aced8036333,0.7855795443902438,24563.60554203404,1047.3387924367053
0x257f37859f3aaf143e83d2e8f6387fe0fef2a242,0.7019151643780055,22105.071438051556,935.7969996829281
0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,0.5916638347912323,228140.37636514075,788.8093455128098
0xf7253a0e87e39d2cd6365919d4a3d56d431d0041,0.4540426941481579,34934.59481213637,605.3321148693415
0xb2b314987db9bb8669826dfc9d1edfc14aa456d6,0.4271068292682927,15309.809799018292,569.4210777274398
0xd78285eef93e13d1f96062265b68099c480121b8,0.368584000497863,11673.573593351213,491.3981337084775
0x34aa3f359a9d614239015126635ce7732c18fdf3,0.3313536585365853,11580.479012195121,441.762445419272
0x24e302de82089d3eaf4d961b1d1b1f55b4fefb12,0.3134832548293455,10886.469387994212,417.9375289321398
0x32331688e630cf762be027a36c0eb45ec08267ed,0.2709703290225037,10181.12958573195,361.2590719949126
0x5630beb269e617ad0c1297c88567552c95d4aadc,0.25038597345676455,8558.957262828146,333.81590057419714
0x22fea913fd7f729303bae66ef40a044c73ffadce,0.16758590780487806,5630.441768511079,223.42641628481513
0xcf8147ebacd210dbfbef8472d4478bce3f509718,0.15913414634146342,7222.878933506582,212.15848331957164
0x89f474d29918a0ed096d00aae123125c5b08d094,0.13344069146341464,4193.40830705698,177.90383374568341
0xab79f8b21be82b8b0cc2284bb3b51a68257532d7,0.1305873860107155,4282.61111098068,174.0997918652364
0x28c173b8f20488eef1b0f48df8453a2f59c38337,0.10156097560975609,23420.599586323573,135.40162840718773
0xf0c0917bed1d2311cfa261493a21ddfc450eeea5,0.1,3494.9,133.3205274902665
0x1ba2a537a771aa4eac2f18427716557e4e744864,0.1,3494.9,133.3205274902665
0x36f8a9ebb4479b1b877920b4ce0a11ee25c29a8b,0.09378273042895234,2961.9563871154264,125.03163090265393
0x80000000000495561f29841ab6e2ddd2bbf88b54,0.08780487804878048,2844.2634146341466,117.06192657681936
0x044a0b7b06fc2a4b0c85ce31e00b27eb1217fa3b,0.07317073170731707,2287.912158246951,97.5516054806828
0x5bd9c90827ac6391e91a60c5de8b63dcaa48b7aa,0.0729881473661544,2550.86276229973,97.30818307393011
0x224e69025a2f705c8f31efb6694398f8fd09ac5c,0.065,2042.6418431250002,86.65834286867323
0x89680047d2ea72f7b36ee0116d9c783bfa06fcc4,0.06233809883074626,2546.4961231511456,83.10948218855457
0x82639e8b08299311426cc1fcf36e37054f22de5b,0.0549073168292683,1862.7417530913965,73.20272442753236
0xdc0b3e6493ede1a8380b39d0b3010aa0045d2190,0.05165853658536586,2110.2386118553527,68.87143346936206
0xa02e3ca79e662b909397ba0a952abd00e799e2b7,0.05,1579.15875,66.66026374513325
0x069e85d4f1010dd961897dc8c095fbb5ff297434,0.04902439024390244,1588.047073170732,65.35957567205749
0x114756e21f7f11c0f87355d2aad8bfcc5626a983,0.04475,1524.8685562500002,59.660936051894254
0x8b80755c441d355405ca7571443bb9247b77ec16,0.0322978,1129.6721997,43.0595973277513
0x983d26a3421276ba89e2ff0f239e974b79105812,0.02926829268292683,930.4639024390243,39.02064219227312
0x23f8f0b09992166b7bfba0106ee6a3773bec1433,0.026437773889453817,869.5253148517842,35.24697960610378
0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597,0.02446718966752289,785.7748908100831,32.6197863267855
0xceb15131d3c0adcffbfe229868b338ff24ed338a,0.02090171585669087,853.829991523868,27.86627783465694
0xc4516b0b4e6895a6afe95a881d391074b068fe3a,0.020491009297662593,647.1711325747048,27.31872168372332
0xc70bc0caa0f75d9bd7a7334c1ec8311b5ed8a653,0.018367804878048784,595.193458902439,24.48805435179754
0xec7acfaa54d85802f7bf27be2493f5435763154c,0.013774436142879149,446.19530997628425,18.3641509244964
0x719ef68eb1c14bad00f58112d1de343233af6d3d,0.012189628452404178,415.3649416634968,16.25127695184886
0x7a4963d6566837643272dce506d9a6467721fea4,0.01167904,365.18177403958384,15.57055773379922
0xce05802dd85586f1b67eb562096ccf06ae167a48,0.01,340.75275,13.33205274902665
0x6e5c10f5b5363fcd1762b846024bb43629337836,0.01,314.25259124999997,13.33205274902665
0x48b576c87e788a762d6f95a456f2a39113b46950,0.01,349.49,13.33205274902665
0x2638bf07baa4a246af902ad19d3d14e0dff0ce97,0.01,358.453875,13.33205274902665
0x2333fcc3833d2e951ce8e821235ed3b729141996,0.01,358.453875,13.33205274902665
0x10061123876ceea12642342afe829444b7e0d48a,0.01,349.49,13.33205274902665
0x472731c3aa2beddff525914f17bf334f906fc33b,0.007073170731707318,226.35596341463418,9.429988529799338
0x63a9da320290e99df7f4d3435e8d72e59e3d8892,0.006,209.694,7.99923164941599
0x3757a7894d40fe277afde8c4c47ac554ad740246,0.005,157.915875,6.666026374513325
0x2165268b9272929164e8d2f01791af0300066db9,0.004784288536585366,163.02594756349393,6.378438713631962
0x8d816a37591ecb1b27176cc717dd171b1d6ebb9c,0.004756097560975612,162.06533231707326,6.340854356244385
