timestamp,amount,caller,amountFiat,date
1663610819000,1.5134280487804876,0xde7700448ab1d3b49d55979778789454db332112,2088.4106993229707,9/19/2022, 2:06:59 PM
1663599095000,0.9733414634146341,0xde7700448ab1d3b49d55979778789454db332112,1343.134037939741,9/19/2022, 10:51:35 AM
1663598987000,0.5310018592682927,0xde7700448ab1d3b49d55979778789454db332112,732.7404597462554,9/19/2022, 10:49:47 AM
1663577231000,0.04606705791631072,0xca6ed3fdc8162304d7f1fcfc9ca3a81632d5e5b0,63.56888701532743,9/19/2022, 4:47:11 AM
1663563023000,0.13508536585365855,0x673ed2dbd171a2cb7f596bc8bf7bc6080b592afe,186.40709321996783,9/19/2022, 12:50:23 AM
1663534415000,0.33436587463414635,0x90c824a56e87376dd394b51bc0fdaf10f1ba81ab,446.66350706048485,9/18/2022, 4:53:35 PM
1663520531000,1.3533646878048782,0x70d3e96ebe14442fd38f562e6ab4ce8fc3d55824,1807.895672511946,9/18/2022, 1:02:11 PM
1663493063000,1.0044537302439025,0x0f8f024ba552bc84873a1ef69dcb1cad73445e85,1341.802079299004,9/18/2022, 5:24:23 AM
1663453463000,0.03858048780487805,0x20fa7558e9795a84dc2aa5e9be953b30b27f9276,56.7597662583723,9/17/2022, 6:24:23 PM
1663450535000,0.05702439024390244,0xa0aecc4a848e6f9998216e004a90b61c810febec,83.89450847899509,9/17/2022, 5:35:35 PM
1663450331000,0.4962283377309681,0x088008233462058159adbdc9b9370f4d4e2140f0,730.053093233029,9/17/2022, 5:32:11 PM
1663440107000,0.10473170731707317,0xdc64706d40110074c4bbcc2106eedf4adcd5359c,154.08170205680278,9/17/2022, 2:41:47 PM
1663437107000,2.471291656097561,0x5c9defd440c5d1cf3ed5be0e9f9958777b0e8acc,3635.7740593064213,9/17/2022, 1:51:47 PM
1663435703000,0.05,0xa02e3ca79e662b909397ba0a952abd00e799e2b7,73.56019776815224,9/17/2022, 1:28:23 PM
1663433975000,0.00340509,0x673ed2dbd171a2cb7f596bc8bf7bc6080b592afe,5.00958187636715,9/17/2022, 12:59:35 PM
1663433867000,0.00340509,0x673ed2dbd171a2cb7f596bc8bf7bc6080b592afe,5.00958187636715,9/17/2022, 12:57:47 PM
1663433759000,0.00342013,0x673ed2dbd171a2cb7f596bc8bf7bc6080b592afe,5.0317087838558106,9/17/2022, 12:55:59 PM
1663433639000,0.00342013,0x673ed2dbd171a2cb7f596bc8bf7bc6080b592afe,5.0317087838558106,9/17/2022, 12:53:59 PM
1663429211000,0.00347196,0x673ed2dbd171a2cb7f596bc8bf7bc6080b592afe,5.107961284862277,9/17/2022, 11:40:11 AM
1663429211000,0.00347196,0x673ed2dbd171a2cb7f596bc8bf7bc6080b592afe,5.107961284862277,9/17/2022, 11:40:11 AM
1663429163000,0.00416635,0x673ed2dbd171a2cb7f596bc8bf7bc6080b592afe,6.129550599426822,9/17/2022, 11:39:23 AM
1663429151000,0.00347196,0x673ed2dbd171a2cb7f596bc8bf7bc6080b592afe,5.107961284862277,9/17/2022, 11:39:11 AM
1663429079000,0.00347196,0x673ed2dbd171a2cb7f596bc8bf7bc6080b592afe,5.107961284862277,9/17/2022, 11:37:59 AM
1663428947000,0.00347196,0x673ed2dbd171a2cb7f596bc8bf7bc6080b592afe,5.107961284862277,9/17/2022, 11:35:47 AM
1663357403000,0.00069876,0x36f8a9ebb4479b1b877920b4ce0a11ee25c29a8b,1.0007751176337514,9/16/2022, 3:43:23 PM
